Mode,Step,Accuracy Best Path,Accuracy Best Path CER,Accuracy Beam Search,Accuracy Beam Search CER,Accuracy Beam Search with LM,Accuracy Beam Search with LM CER,Loss
Training,0,0.0,122.0,0.0,99.33333587646484,0.0,100.0,46.99465560913086
Training,500,3.0,83.98774719238281,3.0,87.49568176269531,3.0,88.29568481445312,3.085453748703003
Training,1000,9.0,71.1579360961914,9.0,66.51984405517578,9.0,68.31983947753906,2.550858974456787
Training,1500,13.0,52.977779388427734,14.0,49.67301559448242,14.0,50.80937957763672,1.8422558307647705
Testing,1,11.666666666666666,50.922149658203125,12.0,48.90270868937174,12.0,48.707009633382164,1.6773020227750142
Training,2000,15.0,49.017173767089844,18.0,43.657718658447266,18.0,43.39257049560547,1.8388700485229492
Training,2500,16.0,33.94487762451172,16.0,32.73679733276367,16.0,32.73679733276367,1.2304133176803589
Training,3000,25.0,25.96825408935547,25.0,24.71825408935547,25.0,25.184921264648438,0.8431451320648193
Training,3500,23.0,22.243650436401367,23.0,21.672222137451172,23.0,21.672222137451172,0.7774949669837952
Testing,2,22.666666666666668,19.69196303685506,23.666666666666668,19.312251726786297,23.833333333333332,19.28750451405843,0.7050184706846873
Training,4000,20.0,25.243955612182617,21.0,23.940109252929688,22.0,22.190109252929688,0.8486737012863159
Training,4500,26.0,15.458386421203613,27.0,15.041719436645508,26.0,15.708386421203613,0.6074627637863159
Training,5000,36.0,13.664285659790039,36.0,13.664285659790039,36.0,13.830952644348145,0.4992677569389343
Training,5500,34.0,14.585281372070312,34.0,14.585281372070312,34.0,14.918615341186523,0.5907468795776367
Testing,3,27.833333333333332,15.074926217397055,28.666666666666668,14.461281776428223,28.833333333333332,14.119706630706787,0.4934975703557332
Training,6000,32.0,13.006349563598633,34.0,11.673016548156738,34.0,11.561904907226562,0.5256088376045227
Training,6500,26.0,17.090110778808594,26.0,17.090110778808594,27.0,16.13772964477539,0.5236126184463501
Training,7000,32.0,10.209524154663086,33.0,9.809523582458496,34.0,9.523809432983398,0.3722537159919739
Testing,4,31.0,11.156853516896566,31.333333333333332,11.023316701253256,31.5,10.878872474034628,0.40926529467105865
Training,7500,33.0,9.101082801818848,33.0,8.701082229614258,34.0,8.201082229614258,0.3123362064361572
Training,8000,30.0,12.157937049865723,32.0,11.157937049865723,32.0,11.157937049865723,0.4448361396789551
Training,8500,33.0,11.473809242248535,33.0,11.073809623718262,33.0,11.073809623718262,0.6160503029823303
Training,9000,34.0,6.742063522338867,37.0,5.5920634269714355,37.0,5.5920634269714355,0.2276858538389206
Testing,5,32.166666666666664,9.509531259536743,32.0,9.478049914042154,32.166666666666664,9.289252519607544,0.3609315405289332
Training,9500,31.0,7.6976189613342285,33.0,6.547619342803955,34.0,6.047619342803955,0.25119125843048096
Training,10000,38.0,6.688961029052734,38.0,6.688961029052734,38.0,6.688961029052734,0.2615007758140564
Training,10500,34.0,10.993650436401367,35.0,10.307936668395996,35.0,10.70793628692627,0.38886260986328125
Training,11000,38.0,8.559885025024414,41.0,6.411399841308594,41.0,6.593217849731445,0.2072259783744812
Testing,6,33.166666666666664,8.559987465540567,33.166666666666664,8.754788001378378,33.666666666666664,8.50136931737264,0.3262455364068349
Training,11500,41.0,7.238095283508301,41.0,6.904762268066406,41.0,6.904762268066406,0.264912873506546
Training,12000,38.0,7.140476226806641,38.0,7.473809719085693,39.0,6.640476226806641,0.23560300469398499
Training,12500,37.0,8.212698936462402,37.0,8.126984596252441,37.0,8.126984596252441,0.3193196952342987
Testing,7,33.0,9.903758446375528,33.166666666666664,9.716894388198853,33.5,9.57615359624227,0.3370545233289401
